case_id,role,hydro_file,gaia_file
Y01,train,/path/to/case_01_hy.slf,/path/to/case_01_ga.slf
Y02,train,/path/to/case_02_hy.slf,/path/to/case_02_ga.slf
Y03,train,/path/to/case_03_hy.slf,/path/to/case_03_ga.slf
Y04,train,/path/to/case_04_hy.slf,/path/to/case_04_ga.slf
Y05,train,/path/to/case_05_hy.slf,/path/to/case_05_ga.slf
Y06,train,/path/to/case_06_hy.slf,/path/to/case_06_ga.slf
Y07,val,/path/to/case_07_hy.slf,/path/to/case_07_ga.slf
Y08,test,/path/to/case_08_hy.slf,/path/to/case_08_ga.slf
Y09,train,/path/to/case_09_hy.slf,/path/to/case_09_ga.slf
Y10,train,/path/to/case_10_hy.slf,/path/to/case_10_ga.slf
Y11,test,/path/to/case_11_hy.slf,/path/to/case_11_ga.slf
Y12,train,/path/to/case_12_hy.slf,/path/to/case_12_ga.slf
Y13,val,/path/to/case_13_hy.slf,/path/to/case_13_ga.slf
Y14,train,/path/to/case_14_hy.slf,/path/to/case_14_ga.slf
Y15,test,/path/to/case_15_hy.slf,/path/to/case_15_ga.slf
Y16,val,/path/to/case_16_hy.slf,/path/to/case_16_ga.slf
Y17,train,/path/to/case_17_hy.slf,/path/to/case_17_ga.slf
Y18,test,/path/to/case_18_hy.slf,/path/to/case_18_ga.slf
Y19,train,/path/to/case_19_hy.slf,/path/to/case_19_ga.slf
Y20,val,/path/to/case_20_hy.slf,/path/to/case_20_ga.slf
