case_id,scenario,file,role,n_control_points,start_Q_m3s,peak_Q_m3s,end_Q_m3s
Y01,Y01_Base_5h,Y01_Base_5h.qsl,Train,4,0.0200,0.0530,0.0200
Y02,Y02_PeakLow,Y02_PeakLow.qsl,Train,4,0.0200,0.0424,0.0200
Y03,Y03_PeakHigh,Y03_PeakHigh.qsl,Train,4,0.0200,0.0636,0.0200
Y04,Y04_FastRise,Y04_FastRise.qsl,Train,4,0.0200,0.0530,0.0200
Y05,Y05_SlowRise,Y05_SlowRise.qsl,Train,4,0.0200,0.0530,0.0200
Y06,Y06_FlatTop20,Y06_FlatTop20.qsl,Train,5,0.0200,0.0530,0.0200
Y07,Y07_FlatTop40,Y07_FlatTop40.qsl,Validation,5,0.0200,0.0530,0.0200
Y08,Y08_DoublePeak,Y08_DoublePeak.qsl,Test,6,0.0200,0.0530,0.0200
Y09,Y09_PeakVeryLow,Y09_PeakVeryLow.qsl,Train,4,0.0200,0.0360,0.0200
Y10,Y10_PeakMidHigh,Y10_PeakMidHigh.qsl,Train,4,0.0200,0.0580,0.0200
Y11,Y11_PeakExtreme,Y11_PeakExtreme.qsl,Test,4,0.0200,0.0720,0.0200
Y12,Y12_RiseVeryFast,Y12_RiseVeryFast.qsl,Train,4,0.0200,0.0530,0.0200
Y13,Y13_RiseVerySlow,Y13_RiseVerySlow.qsl,Validation,4,0.0200,0.0530,0.0200
Y14,Y14_FastFall,Y14_FastFall.qsl,Train,4,0.0200,0.0530,0.0200
Y15,Y15_SlowFall,Y15_SlowFall.qsl,Test,4,0.0200,0.0530,0.0200
Y16,Y16_ShoulderFall,Y16_ShoulderFall.qsl,Validation,5,0.0200,0.0530,0.0200
Y17,Y17_DoubleClose,Y17_DoubleClose.qsl,Train,6,0.0200,0.0530,0.0200
Y18,Y18_DoubleWide,Y18_DoubleWide.qsl,Test,6,0.0200,0.0580,0.0200
Y19,Y19_BaseLow,Y19_BaseLow.qsl,Train,4,0.0170,0.0530,0.0170
Y20,Y20_BaseHigh,Y20_BaseHigh.qsl,Validation,4,0.0230,0.0530,0.0230
